B,I,T,P,O,D
FTC FASHIONS,Girls Mini/Short Festive/Wedding Dress,"Blue, 3/4 Sleeve",₹189,₹999,81% off,/ftc-fashions-girls-mini-short-festive-wedding-dress/p/itma9f10fc5423c7?pid=KDEFZ5BCBZJMGK7E&lid=LSTKDEFZ5BCBZJMGK7ERIGBTW&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFZ5BCBZJMGK7E.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Fillory,"Women, Girls Tube Lightly Padded Bra",Black,₹165,₹699,76% off,/fillory-womens-tube-bra-floral-design-extra-transparent-straps-30-34-size-use-fancy-women-girls-lightly-padded/p/itm0cbcbc61be055?pid=BRAFGPRXE2HTAST2&lid=LSTBRAFGPRXE2HTAST2KUSPR6&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BRAFGPRXE2HTAST2.SEARCH&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,Girls Maxi/Full Length Party Dress,"Red, Full Sleeve",₹179,₹999,82% off,/ftc-fashions-girls-maxi-full-length-party-dress/p/itm9c4803aabf85e?pid=KDEFZD5FRHUYPGGH&lid=LSTKDEFZD5FRHUYPGGHGQ5ZLF&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFZD5FRHUYPGGH.SEARCH&ssid=gf2d8eo6nk0000001609472004939
CUTIEKINS,Girls Casual Top Trouser,Maroon,₹704,"₹1,699",58% off,/cutiekins-girls-casual-top-trouser/p/itme8bad1216d3e7?pid=KPBFXZK2XK2YX8BV&lid=LSTKPBFXZK2XK2YX8BVSYS44D&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_rhzeXPH6wmFVP%2FwsrAVHkV%2F5Q4rMFBRSNFVIQNGGeO2BenXWrybqKr2YDGgrUQ6bQI8fg8uR2OgJzUAKbhYQZg%3D%3D&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,Girls Midi/Knee Length Party Dress,"Black, 3/4 Sleeve",₹199,₹999,80% off,/ftc-fashions-girls-midi-knee-length-party-dress/p/itmfhz87m2eygf3d?pid=KDEFB5CDH65GCFWH&lid=LSTKDEFB5CDH65GCFWHDXEOVD&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFB5CDH65GCFWH.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Manzon,Track Pant For Boys & Girls,"Multicolor, Pack of 6",₹242,"₹1,099",77% off,/manzon-track-pant-boys-girls/p/itmffh2jyu7ytqpn?pid=KTKFFKTGAKHG8BHA&lid=LSTKTKFFKTGAKHG8BHASSOBB5&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KTKFFKTGAKHG8BHA.SEARCH&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,Girls Party(Festive) Dress Cap,Grey,₹189,₹999,81% off,/ftc-fashions-girls-party-festive-dress-cap/p/itm64fdb81c38d70?pid=KPBFEZ2HCVE6DJDV&lid=LSTKPBFEZ2HCVE6DJDVEUENAD&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KPBFEZ2HCVE6DJDV.SEARCH&ssid=gf2d8eo6nk0000001609472004939
FnS,"Women, Girls Bralette Lightly Padded Bra","Light Blue, Red, White, Black",₹270,₹999,72% off,/fns-women-girls-bralette-lightly-padded-bra/p/itm90c042451900e?pid=BRAFVCAM25DNQKAH&lid=LSTBRAFVCAM25DNQKAHWXVFOR&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BRAFVCAM25DNQKAH.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Kedar Fab,MY BABY TOWN Baby Boys & Baby Girls Black Sleepsuit,"Light Blue, Pack of 1",₹590,"₹1,299",54% off,/my-baby-town-boys-girls-black-sleepsuit/p/itm6005038018909?pid=BOLFZDGZKVVR7ECZ&lid=LSTBOLFZDGZKVVR7ECZWB6QIX&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BOLFZDGZKVVR7ECZ.SEARCH&ssid=gf2d8eo6nk0000001609472004939
BRATON,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...",Multicolor,₹499,"₹3,999",87% off,/kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm735b3573d23a6?pid=KLCFVG2P8QC2Y7H7&lid=LSTKLCFVG2P8QC2Y7H7HQVHIH&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KLCFVG2P8QC2Y7H7.SEARCH&ssid=gf2d8eo6nk0000001609472004939
harrica,"Girls, Women Tube Lightly Padded Bra",Unstitched,₹322,₹999,67% off,/braton-girls-women-tube-lightly-padded-bra/p/itme73c9c0313596?pid=BRAFUPVCGTP9TT4G&lid=LSTBRAFUPVCGTP9TT4GUBDVIF&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BRAFUPVCGTP9TT4G.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Kedar Fab,Rayon Printed Shirt Fabric,"Light Blue, Pack of 1",₹454,₹999,54% off,/harrica-rayon-printed-shirt-fabric/p/itm3e122fcd74627?pid=FABFWYHGCRYQS4N6&lid=LSTFABFWYHGCRYQS4N6LHBMSS&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.FABFWYHGCRYQS4N6.SEARCH&ssid=gf2d8eo6nk0000001609472004939
CUTIEKINS,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...",Pink,₹499,"₹3,999",87% off,/kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm18914fff9d437?pid=KLCFVG2PUVWZWMZZ&lid=LSTKLCFVG2PUVWZWMZZOQ6OOB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KLCFVG2PUVWZWMZZ.SEARCH&ssid=gf2d8eo6nk0000001609472004939
Kedar Fab,Girls Party(Festive) Top Trouser,"Blue, Pack of 1",₹688,"₹1,299",47% off,/cutiekins-girls-party-festive-top-trouser/p/itmac88e9751d5dd?pid=KPBFHGQZSWQNTTY6&lid=LSTKPBFHGQZSWQNTTY676VF7I&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_rhzeXPH6wmFVP%2FwsrAVHkV%2F5Q4rMFBRSNFVIQNGGeO1pYRbk4xfNei7mid3cEJM5N5GxX4SqlGGip2hHAyuhDA%3D%3D&ssid=gf2d8eo6nk0000001609472004939
FTC FASHIONS,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...","Black, 3/4 Sleeve",₹499,"₹3,999",87% off,/kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm08797722bfa37?pid=KLCFPCK24GHQYGHN&lid=LSTKLCFPCK24GHQYGHNTUWVHA&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KLCFPCK24GHQYGHN.SEARCH&ssid=gf2d8eo6nk0000001609472004939
JARS Collections,Girls Maxi/Full Length Casual Dress,Pack of 4,₹188,₹899,79% off,/ftc-fashions-girls-maxi-full-length-casual-dress/p/itm0b15aca691c10?pid=KDEFVRKGY2G4ZYKN&lid=LSTKDEFVRKGY2G4ZYKNHYQ2FZ&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFVRKGY2G4ZYKN.SEARCH&ssid=gf2d8eo6nk0000001609472004939
KAARIGARI,Boys & Girls Graphic Print Bandana,"Black, Full Sleeve",₹162,₹899,81% off,/jars-collections-boys-girls-graphic-print-bandana/p/itmf3umwzwwsh2p7?pid=BDAFYTHFJQPZE7HR&lid=LSTBDAFYTHFJQPZE7HRJGYT2H&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.BDAFYTHFJQPZE7HR.SEARCH&ssid=gf2d8eo6nk0000001609472004939
MRM CREATION,Girls Maxi/Full Length Party Dress,"Grey, Sleeveless",₹254,"₹1,199",78% off,/kaarigari-girls-maxi-full-length-party-dress/p/itmfg4yv8gg5fe5r?pid=KDEFG4RNGDUZWYW8&lid=LSTKDEFG4RNGDUZWYW8CIGUJB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=bc763030-6405-4556-9a9f-d3d0f2c0ddb0.KDEFG4RNGDUZWYW8.SEARCH&ssid=gf2d8eo6nk0000001609472004939
