B,I,T,P,O,D,L
FTC FASHIONS,Girls Mini/Short Festive/Wedding Dress,"Blue, 3/4 Sleeve",₹189,₹999,81% off,https://flipkart//ftc-fashions-girls-mini-short-festive-wedding-dress/p/itma9f10fc5423c7?pid=KDEFZ5BCBZJMGK7E&lid=LSTKDEFZ5BCBZJMGK7ERIGBTW&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KDEFZ5BCBZJMGK7E.SEARCH&ssid=pd6h5gzd0w0000001609472196939
Fillory,"Women, Girls Tube Lightly Padded Bra",Black,₹165,₹699,76% off,https://flipkart//fillory-womens-tube-bra-floral-design-extra-transparent-straps-30-34-size-use-fancy-women-girls-lightly-padded/p/itm0cbcbc61be055?pid=BRAFGPRXE2HTAST2&lid=LSTBRAFGPRXE2HTAST2KUSPR6&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.BRAFGPRXE2HTAST2.SEARCH&ssid=pd6h5gzd0w0000001609472196939
FTC FASHIONS,Girls Maxi/Full Length Party Dress,"Red, Full Sleeve",₹179,₹999,82% off,https://flipkart//ftc-fashions-girls-maxi-full-length-party-dress/p/itm9c4803aabf85e?pid=KDEFZD5FRHUYPGGH&lid=LSTKDEFZD5FRHUYPGGHGQ5ZLF&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KDEFZD5FRHUYPGGH.SEARCH&ssid=pd6h5gzd0w0000001609472196939
CUTIEKINS,Girls Party(Festive) Top Trouser,Pink,₹688,"₹1,299",47% off,https://flipkart//cutiekins-girls-party-festive-top-trouser/p/itmac88e9751d5dd?pid=KPBFHGQZSWQNTTY6&lid=LSTKPBFHGQZSWQNTTY676VF7I&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_0ppN4nIEfO9ZSxuCI3xgIvsn3uDc%2BmYj%2FRx7An2hxg7pzAj3yArPRPsOHbswSttGN5GxX4SqlGGip2hHAyuhDA%3D%3D&ssid=pd6h5gzd0w0000001609472196939
FTC FASHIONS,Girls Midi/Knee Length Party Dress,"Black, 3/4 Sleeve",₹199,₹999,80% off,https://flipkart//ftc-fashions-girls-midi-knee-length-party-dress/p/itmfhz87m2eygf3d?pid=KDEFB5CDH65GCFWH&lid=LSTKDEFB5CDH65GCFWHDXEOVD&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KDEFB5CDH65GCFWH.SEARCH&ssid=pd6h5gzd0w0000001609472196939
Manzon,Track Pant For Boys & Girls,"Multicolor, Pack of 6",₹242,"₹1,099",77% off,https://flipkart//manzon-track-pant-boys-girls/p/itmffh2jyu7ytqpn?pid=KTKFFKTGAKHG8BHA&lid=LSTKTKFFKTGAKHG8BHASSOBB5&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KTKFFKTGAKHG8BHA.SEARCH&ssid=pd6h5gzd0w0000001609472196939
FTC FASHIONS,Girls Party(Festive) Dress Cap,Grey,₹189,₹999,81% off,https://flipkart//ftc-fashions-girls-party-festive-dress-cap/p/itm64fdb81c38d70?pid=KPBFEZ2HCVE6DJDV&lid=LSTKPBFEZ2HCVE6DJDVEUENAD&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KPBFEZ2HCVE6DJDV.SEARCH&ssid=pd6h5gzd0w0000001609472196939
FnS,"Women, Girls Bralette Lightly Padded Bra","Light Blue, Red, White, Black",₹270,₹999,72% off,https://flipkart//fns-women-girls-bralette-lightly-padded-bra/p/itm90c042451900e?pid=BRAFVCAM25DNQKAH&lid=LSTBRAFVCAM25DNQKAHWXVFOR&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.BRAFVCAM25DNQKAH.SEARCH&ssid=pd6h5gzd0w0000001609472196939
Kedar Fab,MY BABY TOWN Baby Boys & Baby Girls Black Sleepsuit,"Light Blue, Pack of 1",₹590,"₹1,299",54% off,https://flipkart//my-baby-town-boys-girls-black-sleepsuit/p/itm6005038018909?pid=BOLFZDGZKVVR7ECZ&lid=LSTBOLFZDGZKVVR7ECZWB6QIX&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.BOLFZDGZKVVR7ECZ.SEARCH&ssid=pd6h5gzd0w0000001609472196939
BRATON,"Girls Lehenga Choli Party Wear, Ethnic Wear, Western We...",Multicolor,₹499,"₹3,999",87% off,https://flipkart//kedar-fab-girls-lehenga-choli-party-wear-ethnic-western-fusion-wear-embroidered-lehenga-dupatta-set/p/itm735b3573d23a6?pid=KLCFVG2P8QC2Y7H7&lid=LSTKLCFVG2P8QC2Y7H7HQVHIH&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KLCFVG2P8QC2Y7H7.SEARCH&ssid=pd6h5gzd0w0000001609472196939
